"login";"name";"email";"codeChurn";"codeChurnClientFiles";"commits";"commitsClientFiles";"commitsImportLibrary";"imports";"daysBetweenImports";"daysSinceLastImport";"daysSinceFirstImport";"avgDaysCommitsClientFiles";"avgDaysCommitsImportLibrary";"projects";"projectsImport";"survey"
"7ce0fde545169b396757d969cb68b8ab";"A . ";"2c2817335cbb4fe2e43d2ed10cf3f1d9";1263;16;89;2;0;0;;;;99.5;;1;0;1
"6e77ddc3af496e5fc02810203b1c2328";"V . ";"d6b84385f794ebdd8a2d7eef1191e798";22;22;5;2;0;0;;;;359;;1;0;3
"3a355c8bbd15fcce572e2fe0918ce6d1";"M. B . ";"ef24c4ac5eaae85dad9aa0f2b06abb47";12;12;1;1;0;0;;;;397;;1;0;3
"52cc186a2e690b66daf76ac0248e1424";"R. B . ";"12c586166be488c1431fc7b8f330ab01";2;2;1;1;0;0;;;;49;;1;0;1
"87c176757b64c069f896ceae52415dc8";"G . ";"c0d8e28e0f3f3f5be8af8d620a96f53b";2403;10;28;1;0;0;;;;516;;1;0;2
"6b7fa47f14afc13b976fe0910c14ceb9";"J. T . ";"f9da2be0d3b55d9ae41f932507f924a7";9229;1390;50;15;4;11;260;1455;1715;113.933333333333;428.5;3;2;1
"8d83c34f9abb833573a024045e9ded16";"A. V. C . ";"beb9b9e5c28099b85ef05dbe32279209";70205;1986;942;89;5;5;520;791;1311;14.7752808988764;262;1;1;4
"a0f197a2d376f78197ec39a66c857195";"M. U . ";"6fe4afda96a6e068d2f0c62f05ea4f34";2737;436;23;2;1;1;0;1010;1010;505;1010;2;1;2
"b49bc984b4761807d4e231c41ad2ad36";"M. W . ";"0c898623b15817167d8f81b314ffc034";391;165;12;8;3;3;51;753;804;106.125;268;3;1;4
"76c95728fb8df26170c375d138cc8787";"M. T . ";"fc939e06778057e9f42ffb11a3dc69b5";23138;149;315;6;1;1;0;747;747;124.166666666667;747;1;1;3
"80a68d77b9f0af808d426d6564689898";"O. E. G . ";"168b38ad0b6217c3fa13a8249a308029";1305;156;14;2;1;1;0;593;593;296;593;1;1;2
"ea98a8bcfd9a30dac7beb5bad3b68238";"O. V . ";"3f836b9b0aa8df57f1218eed264e2471";18070;252;370;17;4;4;326;349;675;39.4117647058824;168.5;8;4;4
"ab8a818f17ee08ca4aeeacc612535a41";"P . ";"feb6916c6fa0fc518199dab93d299d59";13448;212;145;9;0;0;;;;59.1111111111111;;1;0;4
"9d36642973486822300de7fa9fe35ad7";"R. K . ";"04e8df2f64c8537718b326faac14a36b";7;7;1;1;0;0;;;;2377;;1;0;1
"d13df76ddb02f363ebdab54200b63b57";"R. W . ";"617e9a818cc9244e6855efefb5c3dad1";2829;805;121;33;5;5;279;345;624;18.6363636363636;124.6;2;2;3
"6b2f2002b721e25d27b4226fd3eeac9a";"J. H . ";"0f4447fbf2d4e7bb62a999079e5ddb87";555;245;12;5;0;0;;;;219.6;;1;0;2
"87d6d53781b67b2ebaf638ceb8a2ce73";"S . ";"563f5189bfce1c1ca00c753e5070eeda";297116;295;35;8;2;2;57;658;716;89.125;357.5;1;1;1
"70519e5c5327d4ef9047b695a33aad65";"V . ";"f60e65f7fe1c250ff82dc20e52e02cbf";4;2;4;1;0;0;;;;941;;1;0;3
"554fe1785e334517cf159b6ad55d4c29";"B. L . ";"4b50a97a9ed0ae938b1e2524e3747284";23428;1578;37;18;1;1;0;404;404;22.4444444444444;404;1;1;4
"91eff4357b3db81dd1514b577c789dd7";"A. F . ";"016ccc6ef40fd8d9b6b1f53e85694b39";24667;1675;208;35;14;22;452;1195;1648;46.9142857142857;117.428571428571;4;3;2
"5c0ab6ba4f33eaf5c471d31d7e8a8475";"A. K . ";"ccf35211b9e3a1f0026f33c3a881cd85";1945;24;127;5;1;1;0;2307;2307;465.6;2307;2;1;2
"0bff77a6eb6cab48b615035218846055";"A. J . ";"8a8563911626d9915f0d85fc242c32fd";22160;1663;315;44;2;2;856;760;1616;36.4090909090909;808;2;2;3
"84d58f94810375db46cb249acb1ea768";"A. A . ";"d0cecf5747250848ec7df59c9bc065fe";6;6;2;1;0;0;;;;514;;1;0;2
"80409dbe3a79758705419ad40bf7c6b4";"A. F . ";"f37560f324be02a7e7741d0d66987c95";178;14;15;2;0;0;;;;855;;1;0;2
"9a2efffdc0fa4bb18c61e2453327c63c";"P. M . ";"6d1317437558398c4a1ccda143b1bc7f";202;202;8;8;1;1;0;136;136;17;136;1;1;3
"557d2cf40061e11f090e0b297ab5391b";"B. R . ";"8e76cd2d7edd32e3ca5ff08f91d46103";8;8;1;1;1;2;0;2706;2706;2706;2706;1;1;1
"10e8a7be90ae1738d97e4097d6bac95a";"B . ";"1580ae0ac3d9ef25d5d71af8ebf948eb";49;4;4;1;0;0;;;;1546;;1;0;3
"e734c3f8d0b7552b7c9483b10749a2b9";"B. F . ";"721cc7667947af96cc416729fc497107";243393;1033;178;28;14;17;679;1439;2119;75.3214285714286;150.857142857143;14;11;4
"cbe17a23a6ab2142379286cbc90710ed";"B . ";"26a77a297111256b2406c5ba15c657b0";698097;946;95;29;3;3;350;477;827;30.9310344827586;275.333333333333;3;2;4
"1293c542a1712aa14fe7c72ce070a292";"A. G . ";"e4c0bc1d69d131ed98fe7875c378188a";2650;217;66;11;3;3;22;614;637;57.6363636363636;212;1;1;3
"8f619f67a7711071c8d9436516a7ec67";"C. G . ";"04ea592f0c00dc820db57c5a2727212f";786;9;49;1;0;0;;;;1284;;1;0;1
"355865edc2f34b01d5a1d2d6c533376a";"M. A . ";"3e197df029c3d7741457afe1b1cfb01e";30521;536;74;26;2;2;43;2381;2425;93.0384615384615;1212;1;1;4
"0b2a9975947a843b82b0201f17f99721";"C . ";"f8cacd2719f0b8e00794d938450b4f90";8986;122;4;1;1;2;0;1118;1118;1118;1118;2;1;4
"6f9a4765c4b629b380b5d53fc6c8c793";"D . ";"511d8d324dc14768e6502db2e199bb64";515;199;23;13;1;1;0;1009;1009;80.6923076923077;1009;3;1;4
"253453a0f0dcc02bd1e1b7f6c05ccf60";"D. B . ";"acccc57dd0491aa3e51157f992917fd0";6194;1947;100;40;4;4;174;1906;2080;51.75;520;5;4;4
"048da3c1fa68cbe2cf3e6e3c025c96ff";"D. B . ";"9a643b48109735ba2d105d40832efca6";84305;12691;397;22;6;25;2172;103;2275;102.909090909091;378.666666666667;2;2;3
"7c484a6f19a45c65da97d81294181d72";"D . ";"52ff1ad7a3502128d76194241e1a7465";9;9;1;1;0;0;;;;1737;;1;0;3
"905907372bf8647da05513443802fc47";"D. D . ";"0b2bf11db649b4901d41510c3b48ea55";416715;3306;292;56;19;22;1235;454;1690;29.9107142857143;88.5789473684211;9;8;3
"6ad9c35642971ce2aa9e1e488930444c";"D. W . ";"77ace69de9402a626a0b1b13706b0c0f";683;50;10;1;0;0;;;;779;;1;0;1
"783579c9eb7020f2a2cac13885e3c3eb";"D. T . ";"8225d7ca5e83a3f9f0bb89a61d5df72c";1597;243;52;5;2;10;49;2141;2191;437.8;1095;2;1;1
"713015b787fa45945d8702b5ceb62fc5";"D. S . ";"61ba7c5f62eeace4d02d3f643f99a2d1";58;32;7;3;0;0;;;;375;;3;0;1
"1d48ac72333327a0345a23d8070e55a8";"D. S . ";"fa678bc78cb39e5eb4048243c79d86e3";378734;3197;351;93;7;8;555;1365;1921;20.2688172043011;274;2;2;2
"5646a1d5f8360cc821308a1af028caee";"T. P. @. T . ";"6d242cbba08d27cbd0b29964a7db3bc7";165954;1033;223;43;9;9;1419;690;2110;48.6744186046512;233.777777777778;8;6;4
"d14ab0035a84559f0af0c1b8f901766a";"Ã. M . ";"cdea8aff1eb4267e1673b571b4744b78";953;261;9;6;0;0;;;;65;;1;0;3
"3164ca2b9667a679be5b190b53f93a38";"E. A . ";"cc1a65240d9b52374b0f084dbe7344cc";66;61;2;1;0;0;;;;990;;1;0;1
"f6574572b2572858416c024b8c21bc77";"E. C . ";"80c98d5411a7bd502d306721f27d5343";18769;698;81;8;5;5;84;385;469;58.25;93.6;1;1;3
"6002423ae6f7a92c3fbb05eb1450730b";"B. D . ";"48638ce6c045f46349864de39bf1d4f9";2;2;2;1;0;0;;;;1339;;1;0;1
"94070035f3aaefa8ce00733a698cb3c6";"F. P . ";"b9b2f4b4aff17784e32caf4c936fa961";6879;160;204;12;1;1;0;827;827;68.9166666666667;827;2;1;3
"f16470cbb00462e1c9d64a0572549833";"M. G . ";"82874a9efd13544883adb7d3bb89487b";12;12;1;1;0;0;;;;1355;;1;0;1
"bd6b631415c9b7efe29d156ced9d8870";"E. H . ";"55a008542eaa55c7d74b50d735c71407";54;2;1;1;0;0;;;;1627;;1;0;2
"6bdb2dad3ebff25bb1e475773551d68c";"G . ";"6505c37e8c797c911886ddedef131379";54;6;1;1;0;0;;;;491;;1;0;3
"ceb4438de5ae847fdceb53465cfbfbad";"M . ";"ba7182b6e8b2b11050c6932c3e9bb3ea";30;30;2;2;1;1;0;528;528;264;528;1;1;3
"2db75c2f80da4a15b338f7c3b65b9259";"è . ";"ef3d2c7283d059cbd21b87d127a3e0d1";2876;568;36;7;2;3;238;117;355;50.5714285714286;177.5;1;1;3
"78e79bb87edb33b548cdc49a71cf056a";"I . ";"0d4b07758e88c2ec9f8dcd5d2b25210a";219511;1873;561;49;9;9;143;525;668;13.3877551020408;74;3;3;3
"a5067635e3f35f71c331d8dedbcf191a";"I . ";"83f9adc5bc89214613f2fdd2b70c5a0c";36020;524;146;32;2;2;384;479;863;26.6875;431.5;2;2;4
"a81bf0421de664df1a66f1ea9e090065";"I. S . ";"ad90369f0faf8f53e05c4b4331a91f6d";49;10;9;2;0;0;;;;134.5;;1;0;3
"93ca514e12a9f61ac759558fe128bf80";"J. S . ";"9bacb892467aade0dd9a8fc6819e85b6";400164;237;828;6;3;3;215;1638;1853;308.5;617.333333333333;1;1;3
"85c2909efc91c3c2b660c9ffa9b962c5";"E . ";"8e1ddd501f577433f3637686e6bc1f66";18;18;1;1;0;0;;;;606;;1;0;4
"197149131a46f332ca5c6fdadc3102c6";"J. H . ";"109b4c5a8325b6af974d38c0ef0baf6c";332112;837;334;20;5;5;58;767;825;40.8;165;2;1;2
"32bb8b7d04c134a20541b6e19068feaf";"J. A . ";"fc2e9b0a5c1fef22ff1a378ebb4ee2d5";141;121;13;2;0;0;;;;1105.5;;1;0;2
"18ec0b0b69852d48439bf8abe47d9c9a";"J. L. D. B . ";"5c56ec5b37853023a1e795069f5a2a3d";891;6;14;1;0;0;;;;262;;2;0;3
"ae0d1605a98912d51570dac518cb7925";"J. C. M . ";"ef515ca0ae0250f3f9e641eed7af36e3";21;14;1;1;0;0;;;;1707;;1;0;3
"74afa653c25d106584cd8593ef32973a";"J . ";"c0c01a667b3332390a8953ac36cc9381";71712;3026;1339;43;3;3;949;676;1625;38.2790697674419;541.666666666667;1;1;2
"7a8980a1496d262128a524402ceab772";"K. G . ";"f9d71c7d14718a81c654230a750bfde7";33387;2101;446;65;7;7;115;29;144;6.66153846153846;20.1428571428571;4;3;1
"8ed2300b6b27e784b79bd1a667f7b44d";"S . ";"c1669f016fcbc784054b7b874a018d83";18471;2;83;1;0;0;;;;667;;1;0;3
"bb099ca20577af0cd3eff9cb392abf0a";"L. K . ";"e56fc7faa6df07a518f997daafb9f640";47516;232;110;21;8;9;101;2159;2261;107.47619047619;282.375;3;3;1
"023f86ec95a39e18de41521eb56dbdc8";"L. E . ";"2f9538518a7770e371f5ef5a57e3949d";1218;81;14;5;1;1;0;68;68;38.4;68;1;1;4
"fb24b191d86fce49248b68af8f005fd9";"M. N . ";"0a94cc74f54a8de692c0cf74bc6b349a";70;13;8;1;0;0;;;;92;;1;0;3
"9bd17e92744a077b8485fa5b7bb91814";"M. A . ";"0065f23fe6941a1917152b9322a30cdc";8;6;3;2;0;0;;;;303.5;;2;0;3
"583490aa5eb90d9a90c2671ffb6063de";"M. C . ";"ba9511318998cedd1ab69cead0aaaf1d";37;13;7;2;0;0;;;;271;;1;0;1
"1538c037f79ecb98e779a82a22b61610";"F. M . ";"5970a177b907b321a7d3c23f9e2c0580";70;70;8;4;1;1;0;777;777;194;777;2;1;2
"73b67c4d3f0d8b16ad3a9b2ff58efad7";"N. T . ";"3599081dc4180bf207fbdc193bb7ec84";2961;2397;33;20;6;8;10;173;183;22.55;30.1666666666667;2;1;5
"fefca825b5c96f60d9f591556d9e3b89";"N. H . ";"869d2bd11abd845f2b28c135de7568c7";38527;57;279;6;0;0;;;;27.3333333333333;;1;0;4
"7527ae9bfc26b6cbbcb8998b9e5bed20";"N . ";"b2072386f9475a7ee6d116bd46172f26";19294;176;38;5;4;5;1223;570;1793;358.2;448;4;4;4
"3783c380a7b05fd90a410736606875bf";"P. C . ";"6bb5d6e4aed4c13119f24bf44c88d441";53;7;4;2;0;0;;;;431;;1;0;2
"ffb2eab7a558ec7636e248aea381f109";"P. C . ";"9c3d6a31157f938d0488ad9730723953";4872;342;105;26;2;2;670;1100;1770;67.8461538461538;885;1;1;3
"cd06ce2776b7a7faf45e762408c916de";"F. P . ";"318c0a8967d26a96e2afe63d0c96c7a8";2887;91;27;2;2;2;0;416;416;208;208;1;1;5
"983c2dc31c3b044abdf85a08e9e7b102";"R. W . ";"d4a5c5e88824e846e4c4de331e3c3540";3233;1224;109;50;6;6;643;250;894;17.66;148.5;4;4;3
"8b22579a726906a82d54df9727870e84";"à . ";"61d1fd12f4a0f4d2016fe5e3aaa24b25";2459;45;37;4;0;0;;;;75.75;;2;0;2
"124b164a0a20b69ae95ee608438ed25b";"S . ";"811c9f000f60854032b941f2ca88983a";124951;130;886;7;2;2;72;948;1021;145.571428571429;510;1;1;4
"82f87748106c25bc7b82a3fe1163c424";"S. H . ";"719c91f5c3013e43ee46ed2bdc67f883";20;4;7;1;0;0;;;;1262;;1;0;1
"210cc1bf59a65c699af96bf1d610c6d1";"S. S . ";"b05482b6ae7fd89383289bed20f7a5ff";27725;17;6;2;0;0;;;;1042.5;;1;0;3
"fcbda3c251dbffa0a6a214e3932deae9";"S. D . ";"024167669524474809caf109959a2f98";276;14;18;4;0;0;;;;328.25;;1;0;3
"8ba311a436ff510cdda74ffb0e7cde87";"V. S . ";"2af40d87f969180054bfeedc3491c550";4;4;1;1;0;0;;;;533;;1;0;1
"acf56a8a981afb13ef72ef9e85486232";"S . ";"b1b2baa13e42a072bb8e5b3a0f3bdd64";354128;855;923;37;2;5;26;1612;1638;43.9189189189189;819;2;1;5
"0ddbb32a963803b4340838e41a9e02b3";"S. V . ";"55bcc4d60b6b627e387fbf55518333b6";6;6;1;1;0;0;;;;1152;;1;0;1
"ed7f243a22b661b23ab4455667d579c6";"T. N . ";"36a55a1463387c2e9a9ef2a06ab75ec7";45;21;2;1;0;0;;;;491;;1;0;3
"6a86385f450028305071788dfe80190f";"T. P . ";"37acb80cbbc433d6693352f6ab275989";1722;420;35;6;2;2;784;712;1497;257.166666666667;748;3;2;3
"9e0f7536dee64f89c4870cfd5c63ddfa";"J. C . ";"2231050698e8a7d4c73dd7c37af1bc3c";45;18;2;1;0;0;;;;1341;;1;0;2
